GeneID,gene,index
973,CD79A,1333
974,CD79B,1334
975,CD81,1336
976,ADGRE5,189
977,CD151,1275
978,CDA,1345
983,CDK1,1398
984,CDK11B,1400
988,CDC5L,1367
990,CDC6,1368
991,CDC20,1349
993,CDC25A,1351
994,CDC25B,1352
995,CDC25C,1353
996,CDC27,1355
997,CDC34,1356
998,CDC42,1360
999,CDH1,1376
1000,CDH2,1384
1001,CDH3,1387
1002,CDH4,1388
1003,CDH5,1389
1004,CDH6,1390
1005,CDH7,1391
1006,CDH8,1392
1007,CDH9,1393
1008,CDH10,1377
1009,CDH11,1378
1010,CDH12,1379
1012,CDH13,1380
1013,CDH15,1381
1015,CDH17,1382
1016,CDH18,1383
1017,CDK2,1404
1019,CDK4,1407
1020,CDK5,1408
1021,CDK6,1412
1022,CDK7,1413
1024,CDK8,1414
1025,CDK9,1415
1026,CDKN1A,1417
1027,CDKN1B,1418
1028,CDKN1C,1419
1029,CDKN2A,1420
1030,CDKN2B,1422
1031,CDKN2C,1423
1032,CDKN2D,1424
1033,CDKN3,1425
1036,CDO1,1426
1040,CDS1,1428
1041,CDSN,1430
1044,CDX1,1432
1045,CDX2,1433
1046,CDX4,1434
1047,CLGN,1688
1048,CEACAM5,1438
1050,CEBPA,1442
1051,CEBPB,1443
1052,CEBPD,1444
1054,CEBPG,1445
1058,CENPA,1452
1059,CENPB,1453
1060,CENPC,1454
1062,CENPE,1455
1063,CENPF,1456
1066,CES1,1500
1068,CETN1,1502
1069,CETN2,1503
1070,CETN3,1504
1071,CETP,1505
1072,CFL1,1517
1073,CFL2,1518
1075,CTSC,2037
1080,CFTR,1521
1081,CGA,1522
1084,CEACAM3,1437
1087,CEACAM7,1440
1088,CEACAM8,1441
1103,CHAT,1530
1104,RCC1,7394
1105,CHD1,1537
1107,CHD3,1539
1108,CHD4,1540
1109,AKR1C4,306
1111,CHEK1,1545
1112,FOXN3,3136
1113,CHGA,1549
1114,CHGB,1550
1116,CHI3L1,1551
1118,CHIT1,1554
1119,CHKA,1555
1120,CHKB,1556
1121,CHM,1558
1122,CHML,1559
1123,CHN1,1570
1124,CHN2,1571
1128,CHRM1,1581
1129,CHRM2,1582
1130,LYST,4943
1131,CHRM3,1583
1132,CHRM4,1584
1133,CHRM5,1585
1134,CHRNA1,1586
1135,CHRNA2,1587
1136,CHRNA3,1588
1137,CHRNA4,1589
1138,CHRNA5,1590
1139,CHRNA7,1591
1140,CHRNB1,1593
1141,CHRNB2,1594
1142,CHRNB3,1595
1143,CHRNB4,1596
1144,CHRND,1597
1147,CHUK,1615
1149,CIDEA,1620
1152,CKB,1639
1153,CIRBP,1627
1155,TBCB,8879
1158,CKM,1641
1159,CKMT1B,1643
1160,CKMT2,1644
1161,ERCC8,2771
1163,CKS1B,1645
1173,AP2M1,454
1174,AP1S1,448
1175,AP2S1,455
1176,AP3S1,460
1179,CLCA1,1648
1185,CLCN6,1652
1186,CLCN7,1653
1191,CLU,1719
1192,CLIC1,1689
1193,CLIC2,1690
1195,CLK1,1699
1196,CLK2,1700
1198,CLK3,1701
1201,CLN3,1703
1203,CLN5,1704
1207,CLNS1A,1707
1208,CLPS,1711
1211,CLTA,1716
1212,CLTB,1717
1215,CMA1,1723
1230,CCR1,1252
1232,CCR3,1254
1233,CCR4,1255
1234,CCR5,1256
1235,CCR6,1257
1236,CCR7,1258
1237,CCR8,1259
1238,ACKR2,82
1240,CMKLR1,1728
1241,LTB4R,4911
1258,CNGB1,1744
1259,CNGA1,1743
1263,PLK3,6671
1264,CNN1,1751
1265,CNN2,1752
1268,CNR1,1768
1269,CNR2,1769
1270,CNTF,1770
1271,CNTFR,1771
1272,CNTN1,1773
1277,COL1A1,1799
1278,COL1A2,1800
1280,COL2A1,1805
1281,COL3A1,1806
1282,COL4A1,1807
1284,COL4A2,1808
1285,COL4A3,1809
1286,COL4A4,1810
1287,COL4A5,1811
1288,COL4A6,1812
1289,COL5A1,1813
1290,COL5A2,1814
1291,COL6A1,1816
1292,COL6A2,1817
1293,COL6A3,1818
1294,COL7A1,1819
1295,COL8A1,1820
1296,COL8A2,1821
1297,COL9A1,1822
1298,COL9A2,1823
1300,COL10A1,1792
1301,COL11A1,1793
1303,COL12A1,1794
1305,COL13A1,1795
1307,COL16A1,1797
1311,COMP,1834
1312,COMT,1835
1314,COPA,1836
1315,COPB1,1837
1316,KLF6,4561
1317,SLC31A1,8212
1325,CORT,1865
1326,MAP3K8,5022
1327,COX4I1,1875
1329,COX5B,1878
1337,COX6A1,1879
1339,COX6A2,1880
1345,COX6C,1882
1347,COX7A2,1883
1350,COX7C,1885
1351,COX8A,1886
1352,COX10,1866
1353,COX11,1867
1355,COX15,1869
1356,CP,1887
1357,CPA1,1888
1358,CPA2,1889
1361,CPB2,1890
1362,CPD,1891
1363,CPE,1892
1364,CLDN4,1667
1365,CLDN3,1666
1366,CLDN7,1670
1368,CPM,1898
1369,CPN1,1899
1370,CPN2,1900
1373,CPS1,1902
1374,CPT1A,1909
1376,CPT2,1910
1378,CR1,1911
1380,CR2,1912
1381,CRABP1,1913
1382,CRABP2,1914
1384,CRAT,1918
1385,CREB1,1923
1386,ATF2,661
1387,CREBBP,1930
1388,ATF6B,665
1390,CREM,1934
1392,CRH,1935
1393,CRHBP,1936
1394,CRHR1,1937
1395,CRHR2,1938
1396,CRIP1,1939
1398,CRK,1942
1399,CRKL,1943
1400,CRMP1,1947
1401,CRP,1951
1404,HAPLN1,3705
1406,CRX,1957
1407,CRY1,1958
1408,CRY2,1959
1409,CRYAA,1960
1410,CRYAB,1961
1411,CRYBA1,1962
1420,CRYGC,1963
1428,CRYM,1965
1429,CRYZ,1966
1431,CS,1967
1432,MAPK14,5032
1434,CSE1L,1970
1435,CSF1,1971
1436,CSF1R,1972
1437,CSF2,1973
1439,CSF2RB,1974
1440,CSF3,1975
1441,CSF3R,1976
1442,CSH1,1979
1445,CSK,1980
1446,CSN1S1,1981
1447,CSN2,1982
1448,CSN3,1983
1452,CSNK1A1,1984
1453,CSNK1D,1986
1454,CSNK1E,1987
1455,CSNK1G2,1989
1456,CSNK1G3,1990
1457,CSNK2A1,1991
1459,CSNK2A2,1992
1460,CSNK2B,1993
1462,VCAN,9698
1463,NCAN,5657
1464,CSPG4,1994
1465,CSRP1,1997
1469,CST1,1999
1471,CST3,2000
1472,CST4,2001
1474,CST6,2002
1475,CSTA,2003
1476,CSTB,2004
1477,CSTF1,2005
1478,CSTF2,2006
1479,CSTF3,2008
1482,NKX2-5,5855
1485,CTAG1B,2010
1486,CTBS,2013
1487,CTBP1,2011
1488,CTBP2,2012
1489,CTF1,2019
1490,CCN2,1229
1491,CTH,2020
1495,CTNNA1,2022
1496,CTNNA2,2023
1499,CTNNB1,2025
1500,CTNND1,2028
1501,CTNND2,2029
1504,CTRB1,2032
1506,CTRL,2034
1508,CTSB,2036
1509,CTSD,2038
1510,CTSE,2039
1511,CTSG,2041
1512,CTSH,2042
1513,CTSK,2043
1514,CTSL,2044
1515,CTSV,2047
1519,CTSO,2045
1520,CTSS,2046
1522,CTSZ,2048
1523,CUX1,2063
1524,CX3CR1,2068
1525,CXADR,2069
1528,CYB5A,2091
1535,CYBA,2096
1536,CYBB,2097
1537,CYC1,2099
1538,CYLC1,2103
1539,CYLC2,2104
1540,CYLD,2105
1543,CYP1A1,2111
1544,CYP1A2,2112
1545,CYP1B1,2113
1548,CYP2A6,2118
1549,CYP2A7,2119
1553,CYP2A13,2117
1555,CYP2B6,2120
1557,CYP2C19,2122
1558,CYP2C8,2123
1559,CYP2C9,2124
1562,CYP2C18,2121
1571,CYP2E1,2125
1573,CYP2J2,2126
1576,CYP3A4,2128
